micros,pressure,temperature
1319.00,1010.1300,22.11
1973.00,1010.0300,22.11
2625.00,1009.7400,22.11
3257.00,1009.9400,22.11
3907.00,1009.5500,22.11
4554.00,1009.7400,22.11
5194.00,1009.8400,22.11
5832.00,1009.5500,22.11
6479.00,1009.7400,22.11
7110.00,1009.7400,22.11
7744.00,1009.6500,22.11
8372.00,1009.7400,22.11
9011.00,1010.0300,22.11
9641.00,1009.7400,22.11
10273.00,1009.5500,22.11
10908.00,1009.6500,22.11
11544.00,1009.8400,22.11
12173.00,1009.8400,22.11
12809.00,1009.8400,22.11
13437.00,1009.7400,22.11
14082.00,1009.7400,22.11
14718.00,1010.0300,22.11
15346.00,1009.4500,22.11
15996.00,1009.4500,22.11
16635.00,1009.5500,22.11
17273.00,1009.5500,22.11
17912.00,1009.8400,22.11
18553.00,1009.8400,22.11
19187.00,1009.8400,22.11
19825.00,1009.6500,22.11
20470.00,1009.8400,22.11
21113.00,1009.8400,22.11
21758.00,1010.0300,22.11
22388.00,1009.6500,22.11
23017.00,1010.0300,22.11
23655.00,1009.8400,22.11
24283.00,1009.5500,22.11
24920.00,1009.4500,22.11
25552.00,1009.5500,22.11
26190.00,1009.6500,22.11
26827.00,1009.9400,22.11
27455.00,1010.1300,22.11
28122.00,1009.9400,22.11
28763.00,1009.7400,22.11
29391.00,1009.1700,22.11
30025.00,1009.9400,22.11
30655.00,1010.1300,22.11
31286.00,1009.8400,22.11
31915.00,1009.8400,22.11
32549.00,1009.3600,22.11
33177.00,1009.3600,22.11
33811.00,1009.7400,22.11
34440.00,1009.6500,22.11
35074.00,1009.5500,22.11
35703.00,1010.0300,22.11
36338.00,1009.6500,22.11
36969.00,1010.0300,22.11
37605.00,1009.9400,22.11
38236.00,1009.7400,22.11
38873.00,1009.8400,22.11
39517.00,1009.6500,22.11
40147.00,1009.4500,22.11
40797.00,1009.7400,22.11
41426.00,1009.3600,22.11
42061.00,1010.1300,22.11
42691.00,1009.5500,22.11
43326.00,1009.6500,22.11
43955.00,1009.8400,22.11
44594.00,1009.8400,22.11
45221.00,1009.7400,22.11
45856.00,1009.7400,22.11
46482.00,1009.3600,22.11
47129.00,1009.2600,22.11
47758.00,1009.4500,22.11
48394.00,1009.5500,22.11
49023.00,1009.9400,22.11
49661.00,1009.4500,22.11
50289.00,1009.3600,22.11
50926.00,1009.7400,22.11
51556.00,1009.6500,22.11
52202.00,1009.5500,22.11
52834.00,1009.8400,22.11
53465.00,1010.2200,22.11
54116.00,1009.5500,22.11
54753.00,1009.2600,22.11
55384.00,1009.6500,22.11
56025.00,1009.4500,22.11
56665.00,1009.6500,22.11
57300.00,1010.0300,22.11
57941.00,1009.3600,22.11
58580.00,1009.4500,22.11
59218.00,1009.8400,22.11
59856.00,1009.3600,22.11
60497.00,1009.8400,22.11
61147.00,1009.8400,22.11
61786.00,1009.9400,22.11
62420.00,1009.6500,22.11
63062.00,1009.6500,22.11
63700.00,1009.7400,22.11
64331.00,1009.7400,22.11
64962.00,1009.6500,22.11
65606.00,1009.6500,22.11
66238.00,1009.9400,22.11
66866.00,1009.7400,22.11
67503.00,1009.5500,22.11
68135.00,1009.5500,22.11
68778.00,1009.9400,22.11
69408.00,1009.8400,22.11
70038.00,1009.5500,22.11
70685.00,1009.8400,22.11
71339.00,1009.8400,22.11
71982.00,1009.8400,22.11
72625.00,1009.6500,22.11
73261.00,1009.6500,22.11
73894.00,1009.6500,22.11
74526.00,1009.9400,22.11
75173.00,1009.2600,22.11
75812.00,1009.4500,22.11
76451.00,1008.9700,22.11
77086.00,1009.7400,22.11
77721.00,1010.1300,22.11
78350.00,1009.5500,22.11
79006.00,1009.4500,22.11
79639.00,1009.2600,22.11
80274.00,1009.9400,22.11
80905.00,1009.9400,22.11
81538.00,1009.5500,22.11
82185.00,1009.5500,22.11
82823.00,1009.5500,22.11
83452.00,1009.7400,22.11
84087.00,1009.5500,22.11
84716.00,1009.6500,22.11
85347.00,1009.8400,22.11
85977.00,1009.5500,22.11
86611.00,1009.7400,22.11
87238.00,1009.4500,22.11
87873.00,1009.4500,22.11
88503.00,1009.8400,22.11
89148.00,1009.8400,22.11
89782.00,1009.6500,22.11
90408.00,1010.1300,22.11
91057.00,1009.9400,22.11
91696.00,1009.9400,22.11
92325.00,1010.0300,22.11
92962.00,1009.7400,22.11
93599.00,1009.7400,22.11
94235.00,1009.6500,22.11
94867.00,1009.9400,22.11
95504.00,1009.4500,22.11
96140.00,1009.2600,22.11
96777.00,1010.0300,22.11
97414.00,1009.5500,22.11
98050.00,1009.7400,22.11
98691.00,1010.1300,22.11
99327.00,1009.6500,22.11
99966.00,1009.4500,22.11
100610.00,1009.6500,22.11
101248.00,1009.4500,22.11
101887.00,1009.5500,22.11
102517.00,1010.0300,22.11
103172.00,1009.5500,22.11
103811.00,1009.4500,22.11
104440.00,1009.5500,22.11
105077.00,1009.5500,22.11
105708.00,1009.9400,22.11
106341.00,1009.8400,22.11
106971.00,1009.7400,22.11
107613.00,1009.7400,22.11
108243.00,1009.4500,22.11
108875.00,1009.4500,22.11
109506.00,1009.5500,22.11
110143.00,1009.3600,22.11
110775.00,1009.4500,22.11
111407.00,1009.3600,22.11
112038.00,1009.6500,22.11
112675.00,1009.5500,22.11
113308.00,1009.5500,22.11
113948.00,1009.2600,22.11
114576.00,1009.6500,22.11
115224.00,1009.7400,22.11
115863.00,1009.3600,22.11
116492.00,1009.9400,22.11
117129.00,1009.1700,22.11
117761.00,1009.3600,22.11
118395.00,1009.2600,22.11
119026.00,1009.4500,22.11
119661.00,1009.3600,22.11
120291.00,1009.6500,22.11
120924.00,1010.2200,22.11
121552.00,1008.9700,22.11
122190.00,1009.2600,22.11
122817.00,1009.3600,22.11
123448.00,1009.4500,22.11
124078.00,1009.4500,22.11
124714.00,1009.5500,22.11
125344.00,1009.7400,22.11
125982.00,1009.3600,22.11
126626.00,1009.7400,22.11
127255.00,1009.4500,22.11
127895.00,1009.5500,22.11
128544.00,1009.3600,22.11
129179.00,1009.5500,22.11
129811.00,1009.6500,22.11
130449.00,1009.4500,22.11
131107.00,1009.5500,22.11
131754.00,1009.7400,22.11
132381.00,1009.4500,22.11
133023.00,1009.5500,22.11
133661.00,1009.7400,22.11
134310.00,1009.2600,22.11
134954.00,1009.2600,22.11
135589.00,1009.4500,22.11
136220.00,1009.2600,22.11
136856.00,1009.9400,22.11
137482.00,1009.6500,22.11
138121.00,1009.6500,22.11
138757.00,1009.4500,22.11
139384.00,1009.6500,22.11
140031.00,1009.7400,22.11
140680.00,1009.2600,22.11
141319.00,1009.7400,22.11
141955.00,1009.2600,22.11
142593.00,1009.7400,22.11
143230.00,1009.7400,22.11
143868.00,1009.9400,22.11
144502.00,1009.4500,22.11
145144.00,1009.7400,22.11
145780.00,1008.9700,22.11
146418.00,1009.4500,22.11
147053.00,1009.5500,22.11
147695.00,1009.5500,22.11
148331.00,1009.5500,22.11
148973.00,1009.5500,22.11
149615.00,1009.5500,22.11
150252.00,1009.4500,22.11
150884.00,1009.1700,22.11
151511.00,1009.7400,22.11
152143.00,1009.7400,22.11
152774.00,1009.5500,22.11
153400.00,1009.7400,22.11
154046.00,1009.9400,22.11
154704.00,1009.5500,22.11
155341.00,1009.5500,22.11
155980.00,1009.6500,22.11
156614.00,1009.6500,22.11
157257.00,1009.2600,22.11
157894.00,1009.3600,22.11
158532.00,1009.5500,22.11
159169.00,1009.6500,22.11
159812.00,1009.5500,22.11
160446.00,1009.8400,22.11
161081.00,1009.5500,22.11
161721.00,1009.8400,22.11
162352.00,1009.2600,22.11
162981.00,1008.9700,22.11
163622.00,1009.4500,22.11
164254.00,1009.2600,22.11
164892.00,1009.4500,22.11
165522.00,1009.5500,22.11
166159.00,1009.7400,22.11
166791.00,1009.7400,22.11
167423.00,1009.4500,22.11
168055.00,1009.7400,22.11
168701.00,1009.5500,22.11
169331.00,1009.5500,22.11
169968.00,1009.9400,22.11
170599.00,1009.4500,22.11
171237.00,1009.5500,22.11
171866.00,1009.3600,22.11
172500.00,1009.7400,22.11
173129.00,1009.6500,22.11
173769.00,1009.5500,22.11
174397.00,1009.7400,22.11
175027.00,1009.4500,22.11
175699.00,1009.7400,22.11
176338.00,1009.4500,22.11
176978.00,1009.4500,22.11
177611.00,1009.4500,22.11
178247.00,1009.7400,22.11
178881.00,1009.4500,22.11
179523.00,1009.7400,22.11
180160.00,1009.7400,22.11
180800.00,1009.3600,22.11
181434.00,1009.9400,22.11
182075.00,1009.0700,22.11
182721.00,1009.3600,22.11
183364.00,1010.0300,22.11
183994.00,1009.5500,22.11
184629.00,1009.7400,22.11
185256.00,1009.6500,22.11
185899.00,1009.5500,22.11
186534.00,1009.0700,22.11
187165.00,1009.3600,22.11
187820.00,1009.4500,22.11
188456.00,1009.2600,22.11
189088.00,1009.6500,22.11
189732.00,1009.3600,22.11
190361.00,1009.2600,22.11
190998.00,1009.6500,22.11
191627.00,1009.5500,22.11
192273.00,1009.5500,22.11
192910.00,1009.4500,22.11
193538.00,1009.4500,22.11
194180.00,1009.4500,22.11
194813.00,1009.5500,22.11
195458.00,1009.5500,22.11
196094.00,1009.5500,22.11
196758.00,1009.1700,22.11
197387.00,1009.8400,22.11
198042.00,1009.4500,22.11
198685.00,1009.7400,22.11
199329.00,1009.4500,22.11
199963.00,1009.6500,22.11
200594.00,1009.8400,22.11
201239.00,1009.4500,22.11
201878.00,1009.5500,22.11
202516.00,1009.1700,22.11
203147.00,1009.6500,22.11
203787.00,1009.5500,22.11
204423.00,1009.7400,22.11
205064.00,1009.4500,22.11
205698.00,1009.0700,22.11
206341.00,1009.8400,22.11
206974.00,1009.3600,22.11
207612.00,1009.6500,22.11
208251.00,1009.3600,22.11
208892.00,1009.3600,22.11
209526.00,1009.4500,22.11
210171.00,1009.3600,22.11
210801.00,1009.8400,22.11
211433.00,1009.8400,22.11
212088.00,1009.6500,22.11
212723.00,1009.4500,22.11
213368.00,1009.3600,22.11
214006.00,1009.5500,22.11
214639.00,1009.3600,22.11
215275.00,1009.6500,22.11
215907.00,1009.3600,22.11
216539.00,1009.5500,22.11
217171.00,1009.2600,22.11
217808.00,1009.5500,22.11
218444.00,1009.4500,22.11
219081.00,1009.6500,22.11
219724.00,1009.7400,22.11
220357.00,1009.6500,22.11
220996.00,1009.4500,22.11
221629.00,1009.5500,22.11
222268.00,1009.2600,22.11
222908.00,1010.0300,22.11
223540.00,1009.5500,22.11
224170.00,1009.2600,22.11
224822.00,1009.7400,22.11
225452.00,1009.4500,22.11
226090.00,1009.1700,22.11
226719.00,1009.5500,22.11
227355.00,1009.2600,22.11
227983.00,1009.5500,22.11
228616.00,1009.6500,22.11
229249.00,1009.4500,22.11
229884.00,1009.2600,22.11
230513.00,1009.0700,22.11
231151.00,1009.5500,22.11
231794.00,1009.4500,22.11
232428.00,1009.4500,22.11
233061.00,1009.3600,22.11
233696.00,1009.5500,22.11
234331.00,1009.3600,22.11
234970.00,1009.1700,22.11
235601.00,1009.3600,22.11
236233.00,1009.8400,22.11
236876.00,1009.5500,22.11
237512.00,1009.8400,22.11
238141.00,1009.3600,22.11
238774.00,1009.7400,22.11
239418.00,1009.4500,22.11
240060.00,1009.9400,22.11
240700.00,1009.4500,22.11
241338.00,1009.5500,22.11
241976.00,1009.4500,22.11
242609.00,1009.5500,22.11
243247.00,1009.4500,22.11
243881.00,1009.5500,22.11
244519.00,1009.1700,22.11
245152.00,1009.7400,22.11
245805.00,1009.5500,22.11
246446.00,1009.4500,22.11
247081.00,1009.6500,22.11
247711.00,1009.4500,22.11
248352.00,1009.8400,22.11
248985.00,1009.3600,22.11
249619.00,1009.4500,22.11
250249.00,1009.2600,22.11
250881.00,1009.1700,22.11
251510.00,1009.6500,22.11
252147.00,1009.6500,22.11
252776.00,1009.4500,22.11
253415.00,1009.0700,22.11
254048.00,1009.7400,22.11
254682.00,1009.7400,22.11
255314.00,1009.6500,22.11
