micros,pressure,temperature
1326.00,1009.8000,22.04
2002.00,1009.8000,22.04
2655.00,1010.0900,22.04
3326.00,1009.8000,22.04
3965.00,1009.7100,22.04
4601.00,1009.7100,22.04
5237.00,1009.7100,22.04
5868.00,1009.7100,22.04
6504.00,1009.8000,22.04
7137.00,1009.7100,22.04
7774.00,1009.9000,22.04
8405.00,1010.0900,22.04
9037.00,1010.0900,22.04
9665.00,1010.1900,22.04
10307.00,1010.0000,22.04
10937.00,1009.6100,22.04
11574.00,1009.9000,22.04
12205.00,1009.8000,22.04
12850.00,1009.9000,22.04
13487.00,1009.8000,22.04
14126.00,1009.7100,22.04
14756.00,1009.8000,22.04
15386.00,1010.1900,22.04
16029.00,1010.0000,22.04
16668.00,1009.6100,22.04
17326.00,1009.7100,22.04
17957.00,1010.0000,22.04
18594.00,1009.6100,22.04
19223.00,1009.8000,22.04
19859.00,1009.7100,22.04
20492.00,1009.6100,22.04
21123.00,1010.0000,22.04
21752.00,1009.6100,22.04
22391.00,1009.5200,22.04
23021.00,1010.1900,22.04
23658.00,1009.6100,22.04
24287.00,1009.6100,22.04
24934.00,1010.1900,22.04
25563.00,1009.8000,22.04
26206.00,1009.5200,22.04
26839.00,1010.0000,22.04
27472.00,1010.0900,22.04
28117.00,1010.0000,22.04
28757.00,1009.4200,22.04
29387.00,1009.6100,22.04
30018.00,1009.6100,22.04
30650.00,1010.0000,22.04
31287.00,1009.6100,22.04
31920.00,1009.6100,22.04
32565.00,1009.8000,22.04
33208.00,1010.0900,22.04
33844.00,1009.8000,22.04
34485.00,1009.3200,22.04
35120.00,1010.0000,22.04
35761.00,1009.9000,22.04
36401.00,1009.7100,22.04
37045.00,1009.7100,22.04
37683.00,1010.0000,22.04
38333.00,1009.8000,22.04
38976.00,1009.7100,22.04
39608.00,1010.0000,22.04
40237.00,1009.6100,22.04
40879.00,1009.8000,22.04
41512.00,1009.9000,22.04
42148.00,1009.8000,22.04
42777.00,1009.8000,22.04
