micros,pressure,temperature
1320.00,1009.7300,21.80
2610.00,1010.0500,21.77
3882.00,1009.8900,21.83
5146.00,1009.7300,21.75
6406.00,1010.0500,21.77
7664.00,1009.9600,21.77
8924.00,1009.9300,21.80
10182.00,1009.7300,21.75
11434.00,1010.3100,21.85
12698.00,1010.2100,21.75
13960.00,1009.8900,21.78
15220.00,1009.8000,21.83
16478.00,1010.0500,21.77
17742.00,1010.1800,21.83
19014.00,1009.8900,21.73
20268.00,1010.0900,21.78
21522.00,1009.9900,21.83
22778.00,1009.5400,21.75
24040.00,1009.8300,21.75
25298.00,1010.1200,21.80
26548.00,1009.9200,21.75
27812.00,1009.9300,21.80
29070.00,1010.0200,21.80
30330.00,1010.0200,21.85
31582.00,1009.7300,21.80
32838.00,1010.1500,21.82
34098.00,1010.1800,21.83
35364.00,1009.9600,21.77
36618.00,1009.8600,21.82
37874.00,1010.0200,21.80
39136.00,1009.7000,21.78
40392.00,1009.8300,21.80
41646.00,1009.8600,21.77
42902.00,1009.5400,21.75
44164.00,1009.7300,21.80
45418.00,1009.8900,21.78
46688.00,1009.7600,21.77
47944.00,1009.4800,21.77
49200.00,1009.9900,21.78
50466.00,1009.8000,21.78
51718.00,1010.5000,21.80
52994.00,1009.5400,21.80
54250.00,1010.0200,21.85
55506.00,1010.0200,21.80
56766.00,1009.8900,21.83
58024.00,1009.7000,21.78
59282.00,1009.9600,21.82
60542.00,1009.4500,21.85
61798.00,1009.7300,21.80
63070.00,1009.5700,21.77
64322.00,1009.7300,21.75
65578.00,1010.1200,21.85
66838.00,1009.7300,21.80
68094.00,1009.7000,21.83
69352.00,1010.0600,21.87
70610.00,1010.2500,21.82
71874.00,1009.6400,21.80
73134.00,1010.0200,21.85
74388.00,1010.1500,21.82
75650.00,1009.6400,21.85
76914.00,1010.1500,21.82
78170.00,1010.1500,21.77
79426.00,1009.9600,21.82
80688.00,1009.9900,21.83
81942.00,1009.7000,21.78
83198.00,1009.9300,21.85
84450.00,1009.6400,21.85
85716.00,1009.5400,21.80
86974.00,1009.8300,21.85
