micros,pressure,temperature
1199.00,1010.2500,21.87
1822.00,1010.2500,21.87
2408.00,1010.1500,21.87
2978.00,1010.0600,21.87
3579.00,1010.1500,21.87
4158.00,1010.0600,21.87
4735.00,1010.1500,21.87
5311.00,1010.7300,21.87
5880.00,1010.3400,21.87
6454.00,1010.0600,21.87
7021.00,1010.3400,21.87
7597.00,1010.6300,21.87
8168.00,1010.7300,21.87
8743.00,1009.8600,21.87
9315.00,1010.0600,21.87
9892.00,1010.1500,21.87
10465.00,1010.4400,21.87
11037.00,1009.9600,21.87
11616.00,1010.2500,21.87
12188.00,1009.8600,21.87
12771.00,1010.2500,21.87
13348.00,1009.9600,21.87
13918.00,1010.3400,21.87
14511.00,1010.2500,21.87
15107.00,1009.3800,21.87
15676.00,1010.0600,21.87
16250.00,1009.9600,21.87
16819.00,1009.7700,21.87
17394.00,1010.1500,21.87
17961.00,1010.1500,21.87
18543.00,1010.2500,21.87
19125.00,1010.1500,21.87
19692.00,1010.5400,21.87
20269.00,1010.1500,21.87
20839.00,1010.5400,21.87
21418.00,1010.0600,21.87
21987.00,1009.6700,21.87
22562.00,1010.3400,21.87
23133.00,1010.0600,21.87
23721.00,1010.4400,21.87
24297.00,1009.7700,21.87
24864.00,1010.1500,21.87
25435.00,1009.6700,21.87
26024.00,1010.4400,21.87
26603.00,1010.0600,21.87
27175.00,1009.8600,21.87
27746.00,1010.4400,21.87
28316.00,1010.2500,21.87
28891.00,1010.3400,21.87
29461.00,1010.1500,21.87
30033.00,1009.9600,21.87
30605.00,1009.9600,21.87
31184.00,1009.7700,21.87
31758.00,1010.2500,21.87
32327.00,1010.3400,21.87
32897.00,1010.0600,21.87
33467.00,1009.8600,21.87
34040.00,1010.4400,21.87
34611.00,1010.2500,21.87
35188.00,1010.0600,21.87
35759.00,1010.2500,21.87
36330.00,1009.9600,21.87
36898.00,1010.2500,21.87
37477.00,1010.4400,21.87
38053.00,1010.1500,21.87
38625.00,1009.8600,21.87
39200.00,1010.5400,21.87
39767.00,1009.9600,21.87
40343.00,1010.5400,21.87
40912.00,1010.0600,21.87
41488.00,1009.9600,21.87
42057.00,1009.7700,21.87
42641.00,1010.6300,21.87
43218.00,1010.1500,21.87
43790.00,1010.0600,21.87
44368.00,1010.2500,21.87
44936.00,1010.1500,21.87
45513.00,1009.9600,21.87
46082.00,1009.9600,21.87
46665.00,1010.1500,21.87
47238.00,1010.1500,21.87
47806.00,1010.1500,21.87
48377.00,1010.0600,21.87
48959.00,1010.6300,21.87
49539.00,1010.2500,21.87
50108.00,1009.5800,21.87
50685.00,1009.9600,21.87
51256.00,1009.9600,21.87
51828.00,1010.4400,21.87
52402.00,1009.7700,21.87
52982.00,1009.9600,21.87
53560.00,1009.5800,21.87
54143.00,1009.9600,21.87
54718.00,1010.1500,21.87
55288.00,1009.9600,21.87
55858.00,1009.9600,21.87
56427.00,1009.8600,21.87
56999.00,1009.8600,21.87
57574.00,1009.7700,21.87
58167.00,1010.4400,21.87
58738.00,1010.1500,21.87
59307.00,1009.7700,21.87
59874.00,1010.1500,21.87
60460.00,1010.2500,21.87
61029.00,1009.8600,21.87
61599.00,1009.9600,21.87
62192.00,1009.5800,21.87
62766.00,1010.2500,21.87
63350.00,1009.7700,21.87
63921.00,1009.6700,21.87
64494.00,1010.2500,21.87
65082.00,1010.1500,21.87
65660.00,1009.9600,21.87
66250.00,1010.1500,21.87
66831.00,1009.5800,21.87
67416.00,1010.2500,21.87
67993.00,1009.8600,21.87
68570.00,1010.3400,21.87
69140.00,1009.6700,21.87
69719.00,1010.4400,21.87
70294.00,1009.9600,21.87
70861.00,1009.4800,21.87
71446.00,1010.1500,21.87
72021.00,1010.2500,21.87
72592.00,1009.6700,21.87
73168.00,1010.0600,21.87
73740.00,1009.9600,21.87
74322.00,1009.8600,21.87
74897.00,1010.0600,21.87
75470.00,1010.0600,21.87
76043.00,1010.0600,21.87
76614.00,1010.1500,21.87
77185.00,1009.9600,21.87
77769.00,1009.8600,21.87
78349.00,1010.7300,21.87
78917.00,1009.9600,21.87
79502.00,1010.3400,21.87
80071.00,1010.1500,21.87
80659.00,1009.9600,21.87
81236.00,1009.7700,21.87
81803.00,1010.0600,21.87
82374.00,1010.4400,21.87
82961.00,1010.1500,21.87
83540.00,1010.1500,21.87
84107.00,1010.0600,21.87
84685.00,1010.2500,21.87
85258.00,1010.1500,21.87
85832.00,1010.3400,21.87
86404.00,1010.5400,21.87
86980.00,1009.8600,21.87
87557.00,1010.4400,21.87
88130.00,1010.0600,21.87
88711.00,1010.3400,21.87
89281.00,1010.0600,21.87
89852.00,1009.9600,21.87
90423.00,1009.7700,21.87
90996.00,1009.6700,21.87
91567.00,1009.7700,21.87
92149.00,1010.3400,21.87
92721.00,1010.3400,21.87
93294.00,1009.7700,21.87
93887.00,1010.0600,21.87
94466.00,1010.1500,21.87
95037.00,1009.7700,21.87
95620.00,1009.6700,21.87
96196.00,1010.2500,21.87
96768.00,1010.2500,21.87
97344.00,1010.0600,21.87
97911.00,1010.0600,21.87
98485.00,1009.8600,21.87
99054.00,1009.6700,21.87
99632.00,1010.1500,21.87
100201.00,1010.0600,21.87
100780.00,1010.2500,21.87
101366.00,1009.8600,21.87
101942.00,1009.8600,21.87
102520.00,1009.7700,21.87
103090.00,1009.7700,21.87
103672.00,1010.0600,21.87
104256.00,1010.2500,21.87
104825.00,1009.9600,21.87
105407.00,1009.6700,21.87
105982.00,1009.8600,21.87
106552.00,1009.6700,21.87
107125.00,1010.0600,21.87
107695.00,1009.8600,21.87
108271.00,1010.1500,21.87
108840.00,1010.1500,21.87
109422.00,1010.0600,21.87
109992.00,1009.9600,21.87
110572.00,1009.7700,21.87
111145.00,1009.8600,21.87
111718.00,1010.5400,21.87
112293.00,1010.0600,21.87
112865.00,1010.1500,21.87
113443.00,1010.0600,21.87
114012.00,1009.8600,21.87
114592.00,1009.8600,21.87
115163.00,1010.3400,21.87
115734.00,1010.1500,21.87
116315.00,1009.8600,21.87
116902.00,1009.9600,21.87
117473.00,1009.8600,21.87
118042.00,1009.8600,21.87
118609.00,1009.8600,21.87
119188.00,1009.8600,21.87
119757.00,1010.2500,21.87
120342.00,1010.1500,21.87
120916.00,1009.9600,21.87
121488.00,1009.8600,21.87
122075.00,1009.8600,21.87
122647.00,1009.9600,21.87
123239.00,1010.1500,21.87
123821.00,1009.4800,21.87
124404.00,1009.7700,21.87
124985.00,1010.1500,21.87
125556.00,1009.9600,21.87
126127.00,1010.1500,21.87
126722.00,1009.7700,21.87
